PDWtype, DwellIndex, PulseID, UserData, MaxChan, Bin, PW, TOA, FirstFreq, LastFreq, LogAmpA, LogAmpB, LogAmpC, LogAmpD, HLQAmpA, HLQAmpB, HLQAmpC, HLQAmpD, DiffPhaseA, DiffPhaseB, DiffPhaseC, DiffPhaseD, SatDet, Blanking, QPSK, BPSK, PMOP, HLQ, PoP, FE, RE, CH, OV, CoarseTOD, CoarseTOA, FMOPRate_kHz_Per_usec, FMOPExcursion, PMOPTrans, PMOPMinChip, RTTP_TOA_Match_Index1, RTTP_TOA_Match_Index2, RTTP_TOA_Match_Index3, RTTP_TOA_Cell_Index, TunePhaseStep, IFMode, Decim, PMOPWindowLen, FMOPWindowLen
1, 3, 2, 0, 1, 10, 0.0000007012, 0.0006280937, 3047424682.6171875000, 3047424682.6171875000, 54.4687500000, 57.2363281250, 56.3378906250, 52.3574218750, 0, 0, 0, 0, 0, 29.3609619141, 36.7657470703, 203.7084960938, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 3, 0, 1, 9, 0.0000004173, 0.0041281204, 2989014404.2968750000, 2989014404.2968750000, 55.5136718750, 58.6542968750, 57.9960937500, 54.6796875000, 0, 0, 0, 0, 0, 16.8530273438, 12.9583740234, 196.1608886719, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 4, 0, 1, 9, 0.0000006992, 0.0058780983, 2993682128.9062500000, 2993682128.9062500000, 55.2382812500, 58.3769531250, 57.6601562500, 54.3671875000, 0, 0, 0, 0, 0, 16.9519042969, 14.5129394531, 197.2540283203, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 5, 0, 1, 11, 0.0000002168, 0.0076280840, 3071028076.1718750000, 3071028076.1718750000, 50.4472656250, 52.8281250000, 52.5859375000, 48.1289062500, 0, 0, 0, 0, 0, 40.6329345703, 51.9488525391, 211.0089111328, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 6, 0, 1, 10, 0.0000003672, 0.0076284479, 3047263916.0156250000, 3047263916.0156250000, 54.2675781250, 56.9726562500, 56.0371093750, 52.1875000000, 0, 0, 0, 0, 0, 29.4653320313, 37.0074462891, 204.1424560547, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 7, 0, 1, 9, 0.0000007096, 0.0093781029, 3029448120.1171875000, 3029448120.1171875000, 54.4140625000, 57.3496093750, 56.6191406250, 52.3574218750, 0, 0, 0, 0, 0, 23.7524414063, 30.4156494141, 204.3127441406, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 8, 0, 1, 10, 0.0000003607, 0.0093784479, 3032204589.8437500000, 3032204589.8437500000, 54.9316406250, 57.9199218750, 56.9960937500, 52.8867187500, 0, 0, 0, 0, 0, 24.3511962891, 31.1462402344, 203.7524414063, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 9, 0, 1, 9, 0.0000004147, 0.0128781302, 2993627929.6875000000, 2993627929.6875000000, 55.5019531250, 58.5371093750, 58.0078125000, 54.5625000000, 0, 0, 0, 0, 0, 16.9079589844, 14.5843505859, 197.6824951172, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 10, 0, 1, 10, 0.0000003405, 0.0146284479, 3036035888.6718750000, 3036035888.6718750000, 55.1621093750, 58.2011718750, 57.2128906250, 53.1738281250, 0, 0, 0, 0, 0, 25.1751708984, 31.7120361328, 204.0380859375, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 11, 0, 1, 9, 0.0000007038, 0.0163781055, 2992341430.6640625000, 2992341430.6640625000, 55.2500000000, 58.3242187500, 57.6835937500, 54.3027343750, 0, 0, 0, 0, 0, 16.3861083984, 13.6340332031, 196.5618896484, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 12, 0, 1, 9, 0.0000004147, 0.0181283958, 3031313964.8437500000, 3031313964.8437500000, 54.7558593750, 57.8359375000, 56.9023437500, 52.7695312500, 0, 0, 0, 0, 0, 23.0987548828, 30.1794433594, 203.7854003906, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 13, 0, 1, 10, 0.0000003965, 0.0198781523, 3071961181.6406250000, 3071961181.6406250000, 54.1152343750, 56.5957031250, 56.2675781250, 51.7285156250, 0, 0, 0, 0, 0, 44.7088623047, 54.9920654297, 211.6406250000, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 14, 0, 1, 9, 0.0000004134, 0.0216281400, 2990382934.5703125000, 2990382934.5703125000, 55.6035156250, 58.6660156250, 57.9726562500, 54.6621093750, 0, 0, 0, 0, 0, 17.3858642578, 13.7768554688, 197.0892333984, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 15, 0, 1, 9, 0.0000005814, 0.0251282324, 3031698486.3281250000, 3031698486.3281250000, 54.6152343750, 57.7070312500, 56.6953125000, 52.6269531250, 0, 0, 0, 0, 0, 24.8236083984, 32.5909423828, 203.7908935547, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 16, 0, 1, 9, 0.0000007038, 0.0268781146, 2999227661.1328125000, 2999227661.1328125000, 55.1445312500, 58.1660156250, 57.6250000000, 54.2324218750, 0, 0, 0, 0, 0, 19.6820068359, 17.5781250000, 201.2200927734, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 17, 0, 1, 9, 0.0000004199, 0.0286281393, 3017915405.2734375000, 3017915405.2734375000, 54.7382812500, 57.5664062500, 57.1542968750, 53.0625000000, 0, 0, 0, 0, 0, 21.2036132813, 25.3015136719, 204.9609375000, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 18, 0, 1, 9, 0.0000004277, 0.0321283958, 3031462280.2734375000, 3031462280.2734375000, 54.7734375000, 57.8359375000, 56.9140625000, 52.7285156250, 0, 0, 0, 0, 0, 23.4667968750, 30.5090332031, 203.9556884766, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 19, 0, 1, 8, 0.0000006895, 0.0338781354, 2989293090.8203125000, 2989293090.8203125000, 55.1445312500, 58.4003906250, 57.6015625000, 54.2675781250, 0, 0, 0, 0, 0, 16.8200683594, 12.6013183594, 196.0565185547, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 20, 0, 1, 10, 0.0000006868, 0.0356281354, 3039906738.2812500000, 3039906738.2812500000, 55.1738281250, 58.0371093750, 57.0957031250, 53.0039062500, 0, 0, 0, 0, 0, 25.1916503906, 33.3380126953, 202.8295898438, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 21, 0, 1, 9, 0.0000004173, 0.0373781504, 2998574707.0312500000, 2998574707.0312500000, 55.4726562500, 58.4003906250, 57.9375000000, 54.4980468750, 0, 0, 0, 0, 0, 16.9189453125, 16.6387939453, 198.8360595703, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 22, 0, 1, 9, 0.0000007038, 0.0426281289, 2991556274.4140625000, 2991556274.4140625000, 55.1914062500, 58.2597656250, 57.6250000000, 54.3847656250, 0, 0, 0, 0, 0, 17.7484130859, 14.2108154297, 197.6385498047, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 23, 0, 1, 9, 0.0000006960, 0.0443781354, 2993376708.9843750000, 2993376708.9843750000, 55.2089843750, 58.3359375000, 57.6718750000, 54.3144531250, 0, 0, 0, 0, 0, 17.8143310547, 14.4195556641, 197.6330566406, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 24, 0, 1, 10, 0.0000004193, 0.0461281595, 3053605957.0312500000, 3053605957.0312500000, 54.4140625000, 56.9492187500, 56.1621093750, 52.3164062500, 0, 0, 0, 0, 0, 32.9425048828, 40.2099609375, 205.5926513672, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 25, 0, 1, 9, 0.0000004206, 0.0478781549, 2994587768.5546875000, 2994587768.5546875000, 55.5136718750, 58.5664062500, 57.9843750000, 54.6445312500, 0, 0, 0, 0, 0, 16.7156982422, 14.5019531250, 197.7209472656, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 26, 0, 1, 10, 0.0000003594, 0.0513785000, 3023223266.6015625000, 3023223266.6015625000, 50.8808593750, 53.8554687500, 53.1562500000, 49, 0, 0, 0, 0, 0, 21.4947509766, 26.9439697266, 204.9774169922, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 27, 0, 1, 9, 0.0000006953, 0.0513781458, 3020155883.7890625000, 3020155883.7890625000, 54.3027343750, 57.1894531250, 56.7500000000, 52.5449218750, 0, 0, 0, 0, 0, 21.4508056641, 26.0430908203, 205.1202392578, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 28, 0, 1, 9, 0.0000006953, 0.0531281458, 2994688842.7734375000, 2994688842.7734375000, 55.1738281250, 58.1660156250, 57.5664062500, 54.2324218750, 0, 0, 0, 0, 0, 17.7923583984, 15.2709960938, 198.5009765625, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 29, 0, 1, 9, 0.0000004173, 0.0566281699, 3033246826.1718750000, 3033246826.1718750000, 55.1445312500, 58.1777343750, 57.2656250000, 53.0625000000, 0, 0, 0, 0, 0, 23.8623046875, 31.0583496094, 203.6260986328, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 30, 0, 1, 9, 0.0000004193, 0.0636281758, 3025207763.6718750000, 3025207763.6718750000, 54.8027343750, 57.7597656250, 56.9843750000, 52.8105468750, 0, 0, 0, 0, 0, 21.6925048828, 28.5864257813, 203.8403320313, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 31, 0, 1, 9, 0.0000004225, 0.0653781725, 2998818603.5156250000, 2998818603.5156250000, 55.5605468750, 58.3359375000, 57.9609375000, 54.4140625000, 0, 0, 0, 0, 0, 14.8315429688, 16.1059570313, 197.2430419922, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 32, 0, 1, 9, 0.0000006823, 0.0706281771, 3000968994.1406250000, 3000968994.1406250000, 55.2089843750, 58.0488281250, 57.5898437500, 54.1328125000, 0, 0, 0, 0, 0, 18.6602783203, 18.0120849609, 201.0113525391, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 33, 0, 1, 9, 0.0000004160, 0.0723781810, 3004729248.0468750000, 3004729248.0468750000, 55.5722656250, 58.3886718750, 57.9843750000, 54.3671875000, 0, 0, 0, 0, 0, 18.6767578125, 19.7808837891, 201.9232177734, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 34, 0, 1, 10, 0.0000004056, 0.0758784792, 3022465942.3828125000, 3022465942.3828125000, 50.2109375000, 53.1738281250, 52.6035156250, 48.3652343750, 0, 0, 0, 0, 0, 21.4508056641, 26.8780517578, 204.8510742188, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
